                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3884,                0.56098,                      1,                 1.4863,             0.00012138,             0.00012138,             0.00012138
                      2,                 1.1076,                0.56098,                      1,                 1.4795,             0.00024973,             0.00024973,             0.00024973
                      3,                 1.0336,                0.56098,                      1,                 1.3589,             0.00037739,             0.00037739,             0.00037739
                      4,                0.94117,                0.56098,                      1,                 1.3848,             0.00050385,             0.00050385,             0.00050385
                      5,                0.88388,                0.56098,                      1,                 1.3018,             0.00062859,             0.00062859,             0.00062859
                      6,                0.81277,                0.56098,                      1,                 1.3408,             0.00070196,             0.00070196,             0.00070196
                      7,                0.75652,                0.63415,                      1,                 1.2866,             0.00070196,             0.00070196,             0.00070196
                      8,                0.71218,                0.56098,                      1,                  1.269,              0.0006967,              0.0006967,              0.0006967
                      9,                0.60342,                0.60976,                      1,                 1.2481,             0.00069053,             0.00069053,             0.00069053
                     10,                0.57158,                0.78049,                      1,                 1.1934,             0.00068344,             0.00068344,             0.00068344
                     11,                0.51264,                0.73171,                      1,                 1.2061,             0.00067548,             0.00067548,             0.00067548
                     12,                0.44389,                0.68293,                      1,                 1.2065,             0.00066665,             0.00066665,             0.00066665
                     13,                0.39986,                0.70732,                      1,                 1.2026,             0.00065698,             0.00065698,             0.00065698
                     14,                 0.4086,                0.70732,                      1,                  1.228,              0.0006465,              0.0006465,              0.0006465
                     15,                0.35873,                0.73171,                      1,                 1.1894,             0.00063524,             0.00063524,             0.00063524
                     16,                0.34259,                0.63415,                      1,                 1.2197,             0.00062322,             0.00062322,             0.00062322
                     17,                0.36786,                0.70732,                      1,                 1.2061,             0.00061048,             0.00061048,             0.00061048
                     18,                0.31575,                0.65854,                      1,                 1.1787,             0.00059706,             0.00059706,             0.00059706
                     19,                0.30182,                0.78049,                      1,                 1.2036,             0.00058299,             0.00058299,             0.00058299
                     20,                0.26122,                0.65854,                      1,                 1.2495,             0.00056831,             0.00056831,             0.00056831
                     21,                0.24686,                0.68293,                      1,                 1.1997,             0.00055306,             0.00055306,             0.00055306
                     22,                0.23511,                0.78049,                      1,                 1.1831,             0.00053729,             0.00053729,             0.00053729
                     23,                0.20674,                0.73171,                      1,                 1.1392,             0.00052102,             0.00052102,             0.00052102
                     24,                0.20346,                0.73171,                      1,                 1.1504,             0.00050432,             0.00050432,             0.00050432
                     25,                0.18729,                0.73171,                      1,                 1.1338,             0.00048723,             0.00048723,             0.00048723
                     26,                0.18247,                0.78049,                      1,                 1.1401,             0.00046979,             0.00046979,             0.00046979
                     27,                 0.1366,                0.80488,                      1,                 1.1523,             0.00045204,             0.00045204,             0.00045204
                     28,                0.14586,                0.80488,                      1,                 1.1504,             0.00043405,             0.00043405,             0.00043405
                     29,                 0.1274,                0.82927,                      1,                 1.0879,             0.00041586,             0.00041586,             0.00041586
                     30,                0.16561,                0.82927,                      1,                 1.1226,             0.00039751,             0.00039751,             0.00039751
                     31,                0.13905,                0.78049,                      1,                 1.1904,             0.00037907,             0.00037907,             0.00037907
                     32,                0.12483,                0.73171,                      1,                 1.1602,             0.00036057,             0.00036057,             0.00036057
                     33,                0.12411,                 0.7561,                      1,                 1.1484,             0.00034207,             0.00034207,             0.00034207
                     34,                0.12332,                0.78049,                      1,                 1.1411,             0.00032363,             0.00032363,             0.00032363
                     35,                0.12026,                 0.7561,                      1,                 1.1558,             0.00030528,             0.00030528,             0.00030528
                     36,                0.07378,                 0.7561,                      1,                 1.1362,             0.00028709,             0.00028709,             0.00028709
                     37,                0.10827,                0.78049,                      1,                 1.1123,              0.0002691,              0.0002691,              0.0002691
                     38,                0.10818,                0.80488,                      1,                 1.1103,             0.00025135,             0.00025135,             0.00025135
                     39,                0.08072,                0.80488,                      1,                 1.1191,             0.00023391,             0.00023391,             0.00023391
                     40,                0.08888,                0.80488,                      1,                 1.1084,             0.00021682,             0.00021682,             0.00021682
                     41,                0.08807,                0.80488,                      1,                 1.1553,             0.00020012,             0.00020012,             0.00020012
                     42,                0.10361,                0.82927,                      1,                  1.102,             0.00018386,             0.00018386,             0.00018386
                     43,                0.09129,                0.80488,                      1,                  1.148,             0.00016808,             0.00016808,             0.00016808
                     44,                0.11671,                0.78049,                      1,                 1.1191,             0.00015283,             0.00015283,             0.00015283
                     45,                0.06963,                0.78049,                      1,                 1.1416,             0.00013815,             0.00013815,             0.00013815
                     46,                0.07006,                0.82927,                      1,                 1.1348,             0.00012408,             0.00012408,             0.00012408
                     47,                0.07639,                0.80488,                      1,                 1.0942,             0.00011066,             0.00011066,             0.00011066
                     48,                0.07813,                0.82927,                      1,                 1.1631,              9.792e-05,              9.792e-05,              9.792e-05
                     49,                0.07923,                0.80488,                      1,                 1.0996,             8.5903e-05,             8.5903e-05,             8.5903e-05
                     50,                0.09068,                0.78049,                      1,                 1.1709,             7.4639e-05,             7.4639e-05,             7.4639e-05
                     51,                 0.0612,                0.78049,                      1,                 1.1509,             6.4159e-05,             6.4159e-05,             6.4159e-05
                     52,                0.09326,                0.78049,                      1,                 1.1514,             5.4491e-05,             5.4491e-05,             5.4491e-05
                     53,                0.08494,                0.78049,                      1,                 1.1269,             4.5662e-05,             4.5662e-05,             4.5662e-05
                     54,                0.06789,                0.80488,                      1,                 1.1314,             3.7696e-05,             3.7696e-05,             3.7696e-05
                     55,                0.06267,                0.78049,                      1,                 1.1157,             3.0615e-05,             3.0615e-05,             3.0615e-05
                     56,                0.05801,                0.80488,                      1,                 1.1016,             2.4438e-05,             2.4438e-05,             2.4438e-05
                     57,                0.08783,                0.78049,                      1,                 1.1807,             1.9183e-05,             1.9183e-05,             1.9183e-05
                     58,                0.08383,                0.80488,                      1,                 1.1728,             1.4863e-05,             1.4863e-05,             1.4863e-05
                     59,                0.08403,                0.80488,                      1,                 1.0742,             1.1491e-05,             1.1491e-05,             1.1491e-05
                     60,                0.08057,                0.80488,                      1,                 1.1304,             9.0761e-06,             9.0761e-06,             9.0761e-06
